Id,Prediction
0,1999097
1,2055379
2,6923131
3,2055379
4,1999097
5,1999097
6,1999097
7,4491607
8,4491607
9,5653753
10,5444227
11,4807746
12,4807746
13,1999097
14,1999097
15,5337526
16,1149870
17,2021934
18,4807746
19,5525735
20,8213524
21,2999068
22,8904084
23,1149870
24,5435276
25,2999068
26,2999068
27,3778621
28,4100886
29,2999068
30,8904084
31,5435276
32,4100886
33,4100886
34,2371202
35,3903884
36,3261924
37,2740687
38,2371202
39,3752885
40,3903884
41,3818055
42,8630682
43,4264176
44,8630682
45,2732645
46,2156098
47,3752885
48,3903884
49,2156098
50,2156098
51,2390534
52,5595267
53,4651866
54,5595267
55,3273041
56,3600467
57,7201784
58,5595267
59,2390534
60,1619683
61,2390534
62,6313221
63,1882131
64,5286212
65,2390534
66,3836721
67,2525375
68,1882131
69,3452382
70,5286212
71,1882131
72,3452382
73,1882131
74,1904842
75,2525375
76,4590423
77,6313221
78,3807496
79,3452382
80,3727364
81,3807496
82,4250553
83,4250553
84,4250553
85,3351383
86,6313221
87,3351383
88,7495092
89,3351383
90,5906596
91,7495092
92,1270499
93,6694797
94,2364478
95,13575224
96,2083447
97,6412623
98,3410878
99,2738052
100,9652350
101,4429512
102,3784230
103,3784230
104,9652350
105,4467728
106,3784230
107,4219263
108,4219263
109,4219263
110,2018785
111,6782425
112,4155435
113,8894598
114,4155435
115,4155435
116,4155435
117,4155435
118,4155435
119,1847826
120,4155435
121,2018785
122,4067566
123,2018785
124,7592272
125,3199619
126,1847826
127,7592272
128,3199619
129,4780607
130,5787594
131,3939804
132,3199619
133,4015749
134,4780607
135,3939804
136,4015749
137,4015749
138,4882985
139,4015749
140,6363241
141,3810007
142,6363241
143,3810007
144,4015749
145,3810007
146,2544857
147,4015749
148,2544857
149,2544857
150,3810007
151,6363241
152,3810007
153,6363241
154,2544857
155,6363241
156,6363241
157,2544857
158,4015749
159,4015749
160,4015749
161,6363241
162,6363241
163,2544857
164,6363241
165,6363241
166,6363241
167,6363241
168,2544857
169,4015749
170,2544857
171,2544857
172,2544857
173,3810007
174,2544857
175,2544857
176,6363241
177,4015749
178,2544857
179,2544857
180,3810007
181,6363241
182,6363241
183,1847826
184,4780607
185,2544857
186,3810007
187,4015749
188,6363241
189,6363241
190,3810007
191,3810007
192,6363241
193,2544857
194,4015749
195,2544857
196,3810007
197,2544857
198,2544857
199,2544857
200,3810007
201,4015749
202,6363241
203,3810007
204,6363241
205,6363241
206,6363241
207,4015749
208,2544857
209,2544857
210,3810007
211,2544857
212,6363241
213,2544857
214,6363241
215,2544857
216,4015749
217,2544857
218,2544857
219,6363241
220,6363241
221,4015749
222,6363241
223,2544857
224,2544857
225,4286645
226,6363241
227,6363241
228,2544857
229,4015749
230,3810007
231,6363241
232,3810007
233,2544857
234,6363241
235,4015749
236,4015749
237,2544857
238,6363241
239,6363241
240,2544857
241,6363241
242,4015749
243,4015749
244,2544857
245,6363241
246,4015749
247,4015749
248,3810007
249,6363241
250,3810007
251,3810007
252,6363241
253,2544857
254,2544857
255,6363241
256,2544857
257,6363241
258,4015749
259,6363241
260,2544857
261,2544857
262,6363241
263,2544857
264,2544857
265,6363241
266,3810007
267,3810007
268,2544857
269,2544857
270,4015749
271,6363241
272,4015749
273,3810007
274,2544857
275,3810007
276,3810007
277,2544857
278,6363241
279,4015749
280,2544857
281,6363241
282,3810007
283,6363241
284,2544857
285,4015749
286,2544857
287,4286645
288,6363241
289,4015749
290,2544857
291,4015749
292,4015749
293,2544857
294,6363241
295,4015749
296,3810007
297,2544857
298,2544857
299,2544857
300,4015749
301,3810007
302,3810007
303,6363241
304,6363241
305,4286645
306,4015749
307,3810007
308,2544857
309,6363241
310,3810007
311,2544857
312,6363241
313,4286645
314,2544857
315,3810007
316,4015749
317,4015749
318,6363241
319,6363241
320,6363241
321,2544857
322,3810007
323,6363241
324,2544857
325,6363241
326,3810007
327,4015749
328,2544857
329,3810007
330,3810007
331,3810007
332,3810007
333,3810007
334,6363241
335,4015749
336,2544857
337,6363241
338,6363241
339,2544857
340,6363241
341,2544857
342,2544857
343,4015749
344,6363241
345,2544857
346,3810007
347,6363241
348,6363241
349,3810007
350,2544857
351,4015749
352,6363241
353,3810007
354,2544857
355,4015749
356,2544857
357,2544857
358,2544857
359,6363241
360,4780607
361,2544857
362,4015749
363,3810007
364,3810007
365,3810007
366,6363241
367,4015749
368,4015749
369,4015749
370,2544857
371,3810007
372,6363241
373,4015749
374,6363241
375,2544857
376,6363241
377,6363241
378,4015749
379,2544857
380,3810007
381,2544857
382,2544857
383,2544857
384,4015749
385,6363241
386,4015749
387,3810007
388,6363241
389,6363241
390,2544857
391,4015749
392,4015749
393,6363241
394,2544857
395,4015749
396,6363241
397,2544857
398,6363241
399,6363241
400,6363241
401,2544857
402,2544857
403,3810007
404,2544857
405,6363241
406,3810007
407,4015749
408,4015749
409,2544857
410,4015749
411,3810007
412,3810007
413,3810007
414,2544857
415,6363241
416,4015749
417,4015749
418,6363241
419,6363241
420,2544857
421,4015749
422,3810007
423,2544857
424,2544857
425,6363241
426,4015749
427,3810007
428,4780607
429,4015749
430,6363241
431,6363241
432,2544857
433,6363241
434,3810007
435,4015749
436,2544857
437,2544857
438,3810007
439,3810007
440,4015749
441,6363241
442,6363241
443,3810007
444,4015749
445,4015749
446,3810007
447,4015749
448,3810007
449,2544857
450,3810007
451,6363241
452,4015749
453,4015749
454,3810007
455,6363241
456,2544857
457,6363241
458,4015749
459,2544857
460,2544857
461,6363241
462,6363241
463,4015749
464,3810007
465,3810007
466,3810007
467,4015749
468,6363241
469,6363241
470,6363241
471,3810007
472,6363241
473,6363241
474,6363241
475,2544857
476,2544857
477,2544857
478,2544857
479,2544857
480,6363241
481,3810007
482,4015749
483,2544857
484,4015749
485,6363241
486,3810007
487,2544857
488,3810007
489,2544857
490,3810007
491,2544857
492,4015749
493,2544857
494,6363241
495,2544857
496,3810007
497,3810007
498,2544857
499,6363241
500,4015749
501,2544857
502,2544857
503,4015749
504,6363241
505,4015749
506,6363241
507,4015749
508,4015749
509,3810007
510,6363241
511,3810007
512,2544857
513,3810007
514,6363241
515,4015749
516,2544857
517,4015749
518,2544857
519,4015749
520,3810007
521,6363241
522,4015749
523,2544857
524,6363241
525,2544857
526,2544857
527,4780607
528,6363241
529,2544857
530,2544857
531,6363241
532,3810007
533,2544857
534,6363241
535,6363241
536,4015749
537,6363241
538,2544857
539,6363241
540,3810007
541,3810007
542,4015749
543,4015749
544,6363241
545,2544857
546,4015749
