Id,Prediction
0,4699330.93385053
1,3695094.88908875
2,3017530.16935573
3,4387486.01133881
4,5459216.9384105
5,6158441.90823002
6,4810650.99866068
7,4666283.99307302
8,5857539.9135756
9,1286697.45583906
10,9987363.33914978
11,4867277.3452374
12,4379287.78106084
13,8113779.00203449
14,5237357.65806978
15,5759363.87131922
16,6894297.2679902
17,2840065.10363741
18,7561509.48693624
19,6101311.02676473
20,3639506.93615376
21,3719714.41208672
22,3589290.3528055
23,3512234.65067199
24,6286139.49491307
25,5480894.97506349
26,2426093.35049341
27,6070994.51293705
28,3760350.49654951
29,5761892.52038427
30,9412154.8613665
31,2389045.44627082
32,2282717.47166091
33,4598220.06298663
34,2171416.6122451
35,7654252.38673699
36,4274839.72501864
37,9087208.59952711
38,2372894.3678686
39,185285.704012793
40,6791678.30978707
41,4345215.22879652
42,10350327.5345876
43,5041480.23482085
44,3652549.84832573
45,4343533.97185903
46,4678029.05583005
47,-2300364.05274081
48,248621.23187294
49,4148234.92575932
50,3995843.56593518
51,5648912.70623595
52,5347427.82559533
53,3019005.03987046
54,3376219.49523165
55,6263921.77849499
56,7061605.004704
57,4921019.31557393
58,3776829.32152631
59,3312451.83209042
60,4035409.47310304
61,3624939.73880347
62,673415.753693004
63,3042055.61097757
64,5325822.82308083
65,6688656.47658494
66,4722434.78584302
67,4343108.56636657
68,3529381.72470162
69,4546786.85930537
70,2791112.9142518
71,1993823.00908621
72,3051078.34913714
73,5042573.94490315
74,5361828.26294033
75,4121212.44654217
76,4440079.1091889
77,4636679.08787931
78,1923570.23907717
79,1505861.00473616
80,8009932.88421283
81,5714139.17894716
82,5820247.635645
83,5236666.9475879
84,6913327.43411345
85,2661671.85188918
86,3071677.00206848
87,6478169.79462475
88,2495924.46082494
89,5830896.59236167
90,5621165.57105096
91,3078097.66043857
92,4129118.16674386
93,4114310.27146665
94,6624955.79197724
95,657172.137832751
96,3086045.22858636
97,4082100.69618437
98,4157182.0811243
99,6069005.72344159
100,4805365.86667972
101,3212220.85326626
102,4488402.37167388
103,3722679.45093335
104,4074201.06541188
105,-1381496.12282671
106,6365577.82369514
107,6617755.80049901
108,4766355.63569933
109,7263965.39026591
110,3638005.98529922
111,8290574.17221102
112,7794211.51685891
113,5499557.3179623
114,6167196.54160956
115,2785495.63573619
116,4205007.47767155
117,6964872.9657092
118,4971150.20950396
119,4133626.38075369
120,3882033.3511876
121,3946077.62866393
122,4924468.24118433
123,5929723.10973025
124,3244556.03065823
125,-2172906.01847774
126,7908838.02901416
127,3281957.22824261
128,9647136.61317679
129,4693033.4721006
130,3169239.25688644
131,8071086.7961841
132,4072812.85039995
133,5165574.02356979
134,415344.312685882
135,3332235.03780763
136,4313434.17435434
137,4310402.18629567
138,8197479.45939513
139,4291950.42801267
140,8145957.0878053
141,3322112.61559729
142,4227365.06046351
143,2222379.43708698
144,8282348.76473618
145,-112224.942202049
146,1854927.97611384
147,3723549.62881171
148,3095202.63478321
149,4353682.49964403
150,4277779.99992943
151,2654168.36204103
152,4309938.24520577
153,8957551.12574325
154,3921045.88084471
155,5267801.68347145
156,3638297.59968659
157,5460567.59349654
158,5685630.22531882
159,3630646.13004345
160,3937546.09081315
161,3933034.5748454
162,504781.956934963
163,7509267.53047259
164,7024876.91642111
165,3144208.17145917
166,4900792.85211322
167,4086707.47737384
168,3522351.61394506
169,5182901.8268693
170,3504273.61898321
171,2415078.47725918
172,1513526.91731966
173,6543975.37372564
174,6996864.87703166
175,3765789.3416963
176,6446619.84042885
177,5398347.62099288
178,4226503.07535883
179,3733036.04749141
180,5196462.54169568
181,3627596.20840805
182,975059.558172137
183,2077664.58707346
184,5249730.67944427
185,4104943.43741182
186,2822696.21544022
187,5087241.28947802
188,5485038.60046771
189,3793757.27566938
190,4533940.49649039
191,5068723.48369219
192,6841078.65742543
193,5507374.40101601
194,6496082.11851768
195,6832091.8499275
196,3901300.41736416
197,3313365.92021792
198,3266603.37152575
199,4500850.36552277
200,4215937.07908887
201,3598394.6762996
202,4386578.02426725
203,5874576.68501621
204,5159699.12740337
205,6024032.65743303
206,2131687.2387017
207,3344260.96575826
208,2988421.45936298
209,3357700.44847342
210,4984721.35337084
211,4889377.80558254
212,2906077.9875657
213,5771170.66481468
214,4424001.16000395
215,2508036.77981771
216,5910271.36263113
217,2985049.1894571
218,2459079.08619977
219,2388616.36038111
220,4889857.16477831
221,-77004.6074117827
222,6385918.50025651
223,4206661.5391125
224,4389838.59512311
225,1842312.96662364
226,3302803.89774793
227,7222352.8342362
228,2629213.22445258
229,10086856.0649127
230,6181442.47761788
231,9823951.24613522
232,7308259.94757783
233,2693028.76880033
234,3892322.73249927
235,2919742.65561165
236,6976527.02407489
237,2771705.07460709
238,8273491.7341441
239,6981088.79268117
240,3691630.68907492
241,2695570.39314854
242,4796534.53729218
243,6949778.40441984
244,1018632.69861566
245,6353056.38156426
246,3984217.67940777
247,5248489.03089796
248,2820698.56295416
249,3390182.17011816
250,1657115.72254813
251,4402843.97558595
252,3984288.58123924
253,3338075.11977168
254,4466671.71157992
255,4889174.5788097
256,4765409.98278576
257,4702482.35800659
258,1767151.23369228
259,3436124.14569525
260,2761411.50263615
261,2482960.76052123
262,3196195.41498254
263,4531254.2742006
264,2612215.60561743
265,4407717.33768719
266,4718325.7308521
267,6637771.09848283
268,5044531.93222545
269,3608522.8538817
270,4015691.23562446
271,3776880.18460936
272,3389728.17511937
273,4444270.97785495
274,3522496.43694161
275,6212486.5763002
276,7801501.91371418
277,7027343.32520215
278,4610514.91808576
279,4190739.16490562
280,3776269.77255388
281,5306962.37571975
282,2825206.85603875
283,270412.294974786
284,4982335.34536189
285,2145063.61919248
286,-37421.9250826715
287,-474455.426245494
288,4464614.23085828
289,3877057.72097141
290,934262.868061079
291,4748401.12508973
292,3629785.82480029
293,4438479.29794141
294,3360686.55695974
295,3347744.30402658
296,5931989.15048207
297,7245703.38935953
298,5878653.71965591
299,4480409.48691035
300,8425661.60648318
301,6424292.33258196
302,7108986.09063919
303,6917684.47869329
304,4475235.65803252
305,4358521.8428904
306,4142991.95575636
307,4194508.8735186
308,3080526.56521855
309,3599623.90957338
310,4238824.15849736
311,2525354.9509708
312,3062252.16247613
313,4080095.54177335
314,3595924.75170751
315,3638792.11553066
316,2408243.92856031
317,3511199.99042563
318,6379338.69506438
319,5189178.01231502
320,3686923.75132679
321,4326235.91509786
322,3573478.94465945
323,2313920.07452904
324,2973165.34648969
325,3844468.81152459
326,5138904.1583698
327,1414217.2640654
328,4043989.0123489
329,6703810.92365551
330,5980811.47804003
331,4680984.8512686
332,4933269.95742709
333,6013987.25854246
334,5027574.47871092
335,6231733.46863621
336,1982756.58435399
337,6583288.01375326
338,4915797.69420682
339,3636950.63648939
340,3793905.6991171
341,4671056.24484798
342,2334223.130266
343,4820289.85719877
344,6173717.68923388
345,4972291.59487206
346,3154625.51236076
347,6440711.39684695
348,3192576.27982376
349,4794853.55706247
350,4044482.89340148
351,6158687.46007367
352,5007087.97056066
353,4874370.93680419
354,1265531.82678107
355,5129317.26789657
356,3755996.19529835
357,4627302.23940401
358,5643003.02575848
359,3774786.67082501
360,4693033.4721006
361,4932274.74521465
362,3388885.47357841
363,3900974.23179542
364,7533584.41449506
365,3587510.83897964
366,2586277.08213542
367,4365797.23049464
368,5566042.57017992
369,6299631.57794493
370,4843236.09908881
371,4949120.2188953
372,6157704.26380652
373,8727502.79118429
374,3943220.87132923
375,4855171.15651975
376,3816933.69448398
377,5736172.11864702
378,5201283.57129337
379,3116098.5562308
380,1544102.64770045
381,3549651.70994577
382,3650145.56553917
383,5519833.53909634
384,5512991.35861586
385,7619976.75643342
386,6371646.66545649
387,5211048.44075098
388,4811893.61013382
389,11267206.6935891
390,5423251.91448575
391,2337340.78772194
392,4210613.13702067
393,4396495.66975533
394,7133562.91864796
395,4237965.09760967
396,6389646.02122953
397,8076548.37196205
398,6804308.79899122
399,5234196.84103129
400,2902535.16122346
401,4443230.02252971
402,2928279.0836272
403,5989602.35915953
404,3145555.42735914
405,3330148.35963468
406,3825021.23799446
407,4454025.88039305
408,2015150.02378017
409,3412531.06477505
410,4810159.00902729
411,3900331.44972701
412,2832008.119109
413,6073912.00927571
414,3104133.34234628
415,6985990.68830744
416,4772592.96746661
417,2814405.27729092
418,3667758.94232958
419,4525869.90770985
420,6234648.12067984
421,7178455.50269067
422,4207933.27464388
423,3614915.79910833
424,5054839.94385261
425,6379246.56019898
426,4644014.34848317
427,2839326.10147135
428,2209250.45733506
429,3123952.09088232
430,2997976.40748429
431,3920168.64043982
432,2673489.29252413
433,4779619.4876275
434,3972271.8015558
435,4280652.93909813
436,6888853.23493729
437,3053953.55779733
438,4362336.54112178
439,6198783.82420209
440,2671706.4932776
441,3995741.16444038
442,5818558.49240786
443,5311477.38131185
444,6837051.82631256
445,6114863.68965024
446,5438443.48636684
447,4992065.31725509
448,910395.090672226
449,7822291.09954821
450,5072678.57622645
451,3820641.9797795
452,4358219.93672644
453,1393416.59215297
454,-574909.355745445
455,649019.865937765
456,4118027.03063524
457,1793758.20502294
458,1370900.75958142
459,2339373.86203356
460,7847063.97817261
461,5230596.25644549
462,3489674.16394434
463,3398271.8186722
464,4657849.66251274
465,4969158.69893291
466,5305906.8071941
467,-107682.604267677
468,1206629.82388025
469,1562466.49104982
470,5199773.85238392
471,2841838.69093539
472,2849691.34444197
473,3778826.42692327
474,3507520.6556979
475,3786679.07561202
476,4261962.95797838
477,1564598.53891456
478,4019641.35049222
479,8634639.13494036
480,5242275.76514085
481,8601282.72110942
482,2284342.38481113
483,4573417.5904755
484,6936066.31362128
485,3387730.98690014
486,5307308.63611085
487,5708492.99573236
488,7229953.24993285
489,2959413.90403194
490,4242373.63811118
491,2321726.016557
492,3902000.28454757
493,8727694.21761265
494,4260467.40662475
495,5787653.33106811
496,5929557.14004725
497,4342900.83141433
498,2603139.53400428
499,4393098.8483181
500,5488050.2320141
501,2651542.32239725
502,4257736.22533399
503,5796722.51027298
504,4475343.50982197
505,3699006.78760052
506,4220947.67297427
507,4937197.5536608
508,3825941.34773658
509,4889487.90110079
510,3929251.27673014
511,4538699.11012933
512,925170.144297303
513,7277225.97176604
514,2612184.81855081
515,2336519.16070634
516,193729.875623193
517,3513899.60387016
518,5188069.81316216
519,2897812.59565539
520,3406502.60099967
521,6510846.57937087
522,5597802.95971853
523,4609511.94981596
524,5692040.80856293
525,3981232.14887694
526,4929872.6935254
527,3888156.479633
528,7207147.95568907
529,3512021.23598915
530,1732608.10327273
531,5579100.15945127
532,5723069.80838156
533,5033707.71050227
534,1600709.26855913
535,5675067.42506349
536,3954589.2835477
537,-72374.7716339915
538,4079577.01503861
539,7600003.66127118
540,2967290.46274585
541,7019068.31595968
542,3660550.35315884
543,3787172.03177458
544,2760974.66725454
545,4475382.4540173
546,3490274.11426234
547,4840327.0369963
548,2597533.15671579
549,4449445.25126356
550,4485383.31889083
551,3560483.14933839
552,6534923.16863801
553,7670150.85697135
554,6145263.65589464
555,4840543.61100971
556,3855842.94515249
557,5282533.73698029
558,5831223.53022007
559,4733015.08707902
560,4225205.17670251
561,5387916.32477013
562,3322418.44437121
563,2881862.3787616
564,3239476.73400297
565,5601648.00430539
566,3563746.56790917
567,5514972.19279551
568,3451986.24091586
569,1662268.38352447
570,6153077.60080583
571,6031922.87300617
572,4134549.32899727
573,4121589.13954581
574,4383468.25998343
575,3521610.20567636
576,7641813.62591238
577,3492424.75115741
578,3146750.46281513
579,6773261.22090628
580,4672849.54827102
581,4777801.6381853
582,4578749.83602579
583,4289873.24698849
584,3493084.51950132
585,6466892.41155189
586,3191753.30518512
587,2785960.0039176
588,5714526.39702925
589,4939477.8588003
590,-1033113.4913461
591,4184002.32385175
592,3222630.1788566
593,3090009.94737294
594,3514067.13854967
595,1609055.31446272
596,2226486.8327117
597,4930490.5590524
598,1889587.12759933
599,4778680.07786262
600,6916586.58100128
601,6303838.02731283
602,4735986.34158664
603,2227103.71484154
604,2995067.49475312
605,3227213.65424992
606,3089643.78986696
607,3493002.34470362
608,3354111.07242346
609,4406695.93568865
610,4656267.91057043
611,1744178.50476225
612,4480642.78913141
613,5379007.65584379
614,6366623.13317095
615,3148743.59448722
616,5485808.96401303
617,4264784.7595369
618,7414757.85141056
619,3125609.54538397
620,2921106.08982266
621,6757372.94663979
622,3123290.88372422
623,7976528.38172109
624,4308438.89307571
625,10163225.1645575
626,6198133.5997886
627,4637549.4907252
628,4418378.6987696
629,4097334.83851367
630,7242918.76608011
631,9168006.19104134
632,5851916.99879387
633,6211935.76187849
634,2677508.01916035
635,2748407.3846023
636,2791948.39246383
637,3959603.12091627
638,3878309.30820599
639,11225064.6842409
640,4341196.91302559
641,5751559.7306801
642,3390865.27527209
643,3865514.21203298
644,5366458.88552273
645,-753837.486064764
646,5672929.00191453
647,3540384.19049859
648,3799083.24174871
649,-19816.6873459606
650,2758508.03776895
651,2774482.06387033
652,6132806.57263715
653,4708871.94619752
654,5258137.40152284
655,5907329.77241309
656,4096621.37781274
657,3988437.65825085
658,8444180.71390826
659,2522887.95169841
660,6018346.78312282
661,7705760.53165531
662,5667942.69796415
663,3610599.86836901
664,4394224.98207006
665,3873615.41632923
666,6525571.76360161
667,2535075.99392068
668,2740336.63598027
669,3571619.53401442
670,6648331.580129
671,5580447.25286207
672,3783189.64536817
673,4511295.30099693
674,3545644.01415627
675,2421553.64892253
676,2836977.78611348
677,4372399.73649166
678,3482450.06888847
679,3115786.92295313
680,3720409.95000451
681,5374975.24284817
682,3824378.02828974
683,5660875.31372492
684,4072848.0662952
685,5511078.95460546
686,4244861.6685155
687,3352781.8676441
688,8489015.2107174
689,2567833.6884619
690,6640869.76989414
