Id,Prediction
0,4415551.31742527
1,3627309.97291937
2,3278236.02567787
3,3964931.62166941
4,4836906.77083025
5,5252898.45736501
6,4476250.75583034
7,4166233.18391151
8,5424262.8139128
9,2754989.70166953
10,7510992.59657489
11,4994001.6789937
12,5860384.13428042
13,8242498.69139224
14,4803260.98903489
15,6101955.34803461
16,6165924.9031201
17,3486474.46031871
18,9302061.35621812
19,4817826.35013237
20,2934714.06070188
21,6065374.45904336
22,4234583.64902775
23,4542288.63433599
24,5661871.19420654
25,4611197.15653174
26,3040570.76524671
27,5708990.08571853
28,3958116.16564975
29,5293299.21856714
30,6713250.86405825
31,2865369.88638541
32,2535225.86970546
33,5142082.70611832
34,2487646.73624755
35,7628969.1623685
36,4373316.49825932
37,7224317.93838855
38,2874165.8165593
39,1713856.9502564
40,5567113.94226854
41,4465202.96327326
42,7797893.8865438
43,5366562.71891042
44,4836932.32691287
45,4641618.88192951
46,4134096.33879003
47,-47638.477995405
48,2724900.67643647
49,4535609.32937966
50,4540906.36434259
51,4541073.35799298
52,5844100.37717267
53,3043611.49768523
54,3404867.85749082
55,5898040.9211225
56,6707470.537227
57,4519474.40691197
58,4162759.84913816
59,4420668.92479521
60,3379856.43017652
61,3644597.37315173
62,2462879.1435965
63,3644750.18786378
64,4989192.96491542
65,7310953.14191747
66,5011790.95617151
67,5760056.05293329
68,4329455.63372581
69,5169300.55190269
70,3347866.1328759
71,2350424.4341681
72,3671551.79506857
73,5152424.27432658
74,5806425.14484517
75,4064432.45552109
76,4942043.26984445
77,4525894.19056466
78,3414893.27816358
79,3020946.20949308
80,6638343.99173141
81,6335312.01697358
82,4728313.8605725
83,5032062.38941895
84,6636181.22568172
85,2318856.43831959
86,4955783.19565924
87,7781988.69793738
88,3628487.21016247
89,4691702.50218084
90,5471936.21077548
91,4111914.71059429
92,3871724.34224693
93,4085214.94298333
94,7038784.32011362
95,1738368.51366638
96,4048828.01829318
97,4492403.22021719
98,4447357.08868715
99,5972737.72634579
100,5851159.40358986
101,3172216.63438313
102,4111431.37821194
103,3774058.91471667
104,4051831.92895594
105,1076447.31033664
106,5767908.70934757
107,6974434.09724951
108,4885508.16697467
109,6189937.41975796
110,4653894.78327461
111,5961186.72998051
112,7340131.72305446
113,5463706.61985615
114,5131376.82930478
115,4120469.0978681
116,3770818.81721077
117,5753700.8479796
118,4339954.18325198
119,4498122.42325184
120,4649498.6155938
121,4397009.72345697
122,5364609.99259217
123,6084121.37274013
124,3074224.86370411
125,909015.67138613
126,6953391.42913208
127,3474492.9573713
128,7283345.88808839
129,4624300.0271753
130,2792912.17694322
131,6339428.25159205
132,4555401.03832498
133,4366525.1201599
134,2409648.54184294
135,3597908.43215381
136,4234657.96255217
137,4274479.75652284
138,6170171.54382257
139,4499709.14375634
140,7079966.30315265
141,2945194.03454864
142,4779990.71548176
143,2652526.40354349
144,7219136.85199309
145,1937685.11639898
146,3370218.50930692
147,3622574.21953086
148,3749710.4030166
149,5094890.96144702
150,4163811.25433972
151,2762312.51427052
152,6118936.49222789
153,7659083.15487163
154,3702011.52779735
155,5487085.34686073
156,4226844.1927183
157,6203835.98374827
158,4519995.52453441
159,3839036.77364672
160,3410134.89078157
161,4620092.4726727
162,2284996.57396748
163,8572319.41348629
164,6834722.54996056
165,3121261.11622959
166,4669226.53568161
167,4098501.54506192
168,4734988.26534753
169,5350454.48080965
170,3935393.47774161
171,3012667.82187959
172,2607935.16003483
173,6933389.48361282
174,6685864.12001583
175,3393458.55247315
176,7386915.27046443
177,5454436.98537144
178,4219664.73980442
179,3608824.39999571
180,5147045.18047284
181,4201426.85157903
182,2980088.41496107
183,3098313.82641173
184,5091184.41747214
185,3878012.36695591
186,3456759.45797011
187,5655680.21011401
188,5324606.39460886
189,4308567.92120969
190,4592350.7381202
191,5356816.0027211
192,6673106.77446272
193,6206302.61300801
194,6249679.12538384
195,7743395.95083875
196,4225725.54593208
197,2739114.23423396
198,3157929.89501288
199,5377898.07576139
200,4214335.27016944
201,3453639.1130248
202,4642103.29275863
203,6399111.73800811
204,5097676.17595169
205,6748673.58184152
206,4034683.16385085
207,3885645.77062913
208,4423920.28630649
209,3440431.12511171
210,5264602.61918542
211,5052679.51816627
212,2950843.46903285
213,4676354.54653234
214,6451562.36687698
215,2363651.16603385
216,5497594.26744057
217,4297997.55960355
218,3371578.55259989
219,2583309.61619055
220,5922162.87013916
221,2407246.09729411
222,6277941.92587825
223,4107215.92305625
224,4911392.06918656
225,3392217.18856182
226,3013097.63587397
227,7067385.1109931
228,2824671.53735129
229,7715661.77608135
230,5431692.63130894
231,8365447.33719261
232,6955637.30653892
233,3585742.60027517
234,3889010.58812463
235,3972381.32243082
236,6029224.83041245
237,2971142.20105354
238,6332286.87507205
239,5888240.72334058
240,3908567.39241246
241,3470920.83044927
242,4381291.75114609
243,5546986.90395992
244,3238158.81543283
245,5698522.78865713
246,3894923.46882888
247,5135571.23119898
248,3542562.18247708
249,3995489.66055908
250,2124710.65852407
251,4621952.87316797
252,4793225.22286962
253,3814521.21288584
254,4722583.37591496
255,4200312.29415485
256,5267259.31764288
257,4917763.6576283
258,2743141.29084614
259,3608710.74147263
260,3557063.28731807
261,4641635.01251062
262,4594804.46811627
263,4569129.2608503
264,2325879.03955871
265,5027425.4700936
266,4954831.54767605
267,6872109.99761642
268,5143850.90511273
269,3826612.01681585
270,4085090.69356223
271,3460209.06517968
272,3955723.93618469
273,4786706.32980248
274,3880724.07372081
275,7221355.8806501
276,7482551.98948209
277,6631172.75160108
278,4890200.67054288
279,4351087.07520281
280,4441934.13252694
281,4730458.75023488
282,3192135.47014438
283,2047648.90673739
284,4882821.68543095
285,2327809.13684624
286,2332539.66870866
287,1873967.29125225
288,4837536.82617914
289,3928219.8229857
290,2595671.38878054
291,5263174.25941987
292,3616208.12427515
293,4760340.27534571
294,3578904.26685487
295,5001033.75588829
296,7240994.69849104
297,7247515.41655477
298,6888996.46770296
299,4947330.19158018
300,6879311.05461659
301,6025629.88366598
302,7096092.7269446
303,7220025.04259665
304,4448245.16439126
305,4463283.7543202
306,4392380.79662818
307,4719272.1272593
308,2618819.55085928
309,3860457.32978669
310,4383601.89837368
311,3051900.1649854
312,3093865.98711307
313,4424762.77551168
314,3520484.62897876
315,3539577.16814033
316,2402720.48790515
317,4021029.74696282
318,6107176.90490719
319,4429425.31053251
320,3862828.2126634
321,4218610.14867393
322,4010975.63945473
323,4711307.70713952
324,3626483.56724484
325,3942987.63588729
326,6027416.4294349
327,2953245.0760327
328,4389146.51954945
329,6915862.55070275
330,6267687.17702002
331,6050992.4627593
332,5024237.03046355
333,6182517.93877123
334,5660076.97423046
335,5410658.11481811
336,2604445.81030199
337,6088000.33625163
338,4634602.82472841
339,3384573.03736969
340,4490677.06768355
341,4926709.98804899
342,3811041.439508
343,4982171.99722439
344,6649276.88161694
345,4600737.79581103
346,3408247.38593038
347,6056871.46867348
348,3098421.86153688
349,5460712.67953124
350,4176524.93320074
351,6452460.26816184
352,5305988.28915533
353,4170136.3941521
354,2548306.34664054
355,4806676.55007329
356,4662730.20514918
357,4839641.78945201
358,5457131.00550424
359,4371560.41703751
360,4624300.0271753
361,5196373.12048233
362,3739434.3111642
363,4617362.10902271
364,8443541.17112253
365,3626756.90148982
366,2616708.94081771
367,4090864.54849732
368,4755678.98721496
369,6441356.92659746
370,4877086.72904441
371,4887098.05644765
372,6604536.15365326
373,8587642.68159214
374,3607057.62716461
375,4992755.32788488
376,3876460.38249199
377,5035504.31957351
378,6246189.80889669
379,4030712.8817404
380,3452504.56085023
381,3801494.23997288
382,3717164.49626958
383,5776690.07154817
384,4865160.57468293
385,6671111.30071671
386,5018306.03522825
387,5108613.76225049
388,4925538.87669191
389,7809225.63329455
390,6040422.16649288
391,2879856.25761097
392,3741064.19351033
393,5420512.67062767
394,6888804.52969898
395,3391318.51480483
396,5894677.07811477
397,7314807.92810603
398,7551044.03162061
399,5400653.96039064
400,3202608.69386173
401,4757258.21588985
402,3217945.2639386
403,6240870.00082977
404,3325589.07155457
405,3879122.85494234
406,4043159.67449723
407,4563489.59582153
408,2202687.37089008
409,3608730.34213752
410,4302973.93688865
411,3740700.4983635
412,3949719.4619295
413,6026364.98713786
414,4434868.48642314
415,5235972.99940372
416,5893686.6816083
417,2692594.94127046
418,3937582.63028979
419,3795968.58035493
420,5493986.08271492
421,6342929.74934534
422,5479754.31332194
423,3714721.10180416
424,5115144.52767631
425,5658047.97622449
426,4530919.59486659
427,3332219.61461067
428,3238886.43716753
429,3233164.37944116
430,3396146.39024215
431,4034836.88084491
432,2508295.35301206
433,4889082.92193875
434,3661019.1177779
435,4555381.25904907
436,5524339.99296864
437,3211329.60889866
438,3793824.63843589
439,6016892.33960105
440,3804315.3433888
441,4556110.35284519
442,5996449.59357893
443,5762056.56740592
444,5713226.84965628
445,7331069.16357512
446,6898607.14493342
447,4800906.67775255
448,2958288.44471111
449,8993573.1404241
450,5561627.34573822
451,3763038.64276475
452,4141391.66723822
453,2884822.28270148
454,2461051.43337728
455,2490405.46134388
456,3846468.39856762
457,2902958.49713647
458,2678489.04804071
459,2767590.13714178
460,6781972.83708631
461,5041618.16859774
462,5932425.47722217
463,3371685.8537111
464,4916184.46300637
465,4478811.78909146
466,5213978.85434705
467,1857800.44136616
468,2949052.74206513
469,3167150.99652491
470,4569723.28544196
471,3717085.85096769
472,3250780.41172098
473,4173285.64183663
474,4610887.72409895
475,3941389.38805601
476,3800411.06786419
477,3250730.37395728
478,4029090.90837111
479,9240092.78209518
480,4453814.17069543
481,8825783.03380471
482,3008125.19453057
483,5166391.88473775
484,6842215.24043564
485,3188244.64007507
486,5044754.76430542
487,6814730.82136618
488,6261095.51246643
489,3430953.03639097
490,4665862.47305559
491,2846857.7929035
492,4382115.59902379
493,7028476.25718132
494,4433702.49918737
495,5011982.17865906
496,5555189.42527363
497,4382448.30045717
498,3399608.45312714
499,4528541.34565905
500,5116071.03350705
501,2592436.88594863
502,4286596.485167
503,6070042.80338649
504,4063037.85391099
505,3937819.63380026
506,3930525.03223713
507,4752732.0849554
508,3758689.78586829
509,4923345.3463004
510,5041240.28924007
511,5046254.87131467
512,1624667.20477365
513,7392618.96500802
514,3113686.9832754
515,2394072.74972817
516,2024566.5361866
517,4534208.89231008
518,4767529.98908108
519,3813239.34170269
520,3846304.67137484
521,7077528.67156044
522,6765283.68510927
523,5367268.13215798
524,5804216.84040647
525,5325740.92156347
526,5475592.7021377
527,4182046.0756915
528,7291314.27846953
529,4105385.42224457
530,2814342.04738636
531,4864692.10697563
532,5018290.97394078
533,4514777.13387613
534,3666883.50752956
535,5011432.21003175
536,4288388.08202385
537,1753962.611933
538,3931858.18564431
539,6588204.01426059
540,3978564.06149792
541,5001190.94622984
542,3712262.27857942
543,4360256.18713729
544,3691681.93700227
545,4595767.83775865
