Id,Prediction
0,4008551.34
1,3119632.022
2,3702574.988
3,3685232.636
4,4369326.732
5,4094329.374
6,3754315.896
7,3707126.874
8,4440556.672
9,3994810.434
10,4030102.559
11,2987591.027
12,5688617.12
13,5372114.175
14,3460763.848
15,3441995.797
16,4427690.053
17,4212023.822
18,4044149.06
19,4060871.225
20,3868689.202
21,4253640.167
22,4488941.908
23,4337217.496
24,4446465.166
25,3214812.828
26,3351089.079
27,4417306.035
28,4678097.772
29,4776400.397
30,4986351.279
31,3626066.228
32,3608490.546
33,4593688.423
34,3837733.247
35,3393840.217
36,4236110.573
37,5153654.74
38,2518769.264
39,4094842.104
40,4602234.35
41,4121156.417
42,3901000.398
43,4242910.149
44,5161046.003
45,3477167.891
46,3745255.302
47,2520037.258
48,4551160.571
49,4805427.92
50,4267815.542
51,4259879.138
52,3916218.633
53,3606551.851
54,3117977.071
55,4244591.373
56,4939937.96
57,4638773.707
58,4181989.171
59,4354510.466
60,3431361.8
61,3907082.521
62,4194418.993
63,4078844.595
64,4426964.729
65,3760008.603
66,3914262.295
67,4850550.916
68,4167629.673
69,4083850.189
70,4202277.582
71,3474240.607
72,4008302.204
73,2760818.1
74,4484765.088
75,4379628.504
76,4145530.149
77,4809242.284
78,4316826.44
79,3937078.664
80,4512639.115
81,3406303.062
82,4392147.634
83,4669554.301
84,4408114.787
85,2206374.953
86,4012195.315
87,4016519.668
88,4102381.181
89,4001808.304
90,4838200.858
91,4275998.358
92,2408842.429
93,4452496.431
94,4818023.732
95,4110395.3
96,4415569.864
97,4392020.622
98,4166835.978
99,4434600.635
100,3413952.078
101,2648179.443
102,4397119.339
103,4470566.152
104,3460660.77
105,2980508.832
106,4256969.157
107,3983659.419
108,4426299.807
109,4087423.549
110,4742374.062
111,4797297.664
112,3845120.087
113,3463082.25
114,4195079.133
115,3835427.166
116,3949065.807
117,4477920.648
118,3154687.541
119,4721484.424
120,4523792.58
121,4528490.361
122,3305350.048
123,4872388.417
124,3363542.231
125,4071331.112
126,4802027.005
127,3073061.078
128,5176811.092
129,4515774.461
130,2446710.859
131,4899868.551
132,4344874.672
133,3295688.038
134,4264697.891
135,3436141.188
136,4453725.578
137,4129454.299
138,5197585.419
139,4504052.066
140,4296504.88
141,3735748.138
142,4623383.714
143,4111387.732
144,4208341.999
145,3700790.727
146,3952692.009
147,3043937.585
148,4229627.607
149,4666201.211
150,4036514.899
151,3534076.748
152,4905931.483
153,5055472.115
154,2671432.915
155,4586272.289
156,4302168.629
157,3749575.941
158,4536122.924
159,3866099.021
160,3597362.069
161,4637751.24
162,3907756.792
163,5856652.288
164,5003378.611
165,3936684.306
166,4110063.107
167,3628333.875
168,2880169.997
169,4217019.296
170,3721464.132
171,3947088.187
172,4215925.497
173,3674114.852
174,3931453.961
175,3621349.92
176,4294664.339
177,3885995.023
178,4301940.79
179,4040741.382
180,4582128.92
181,3622167.886
182,4033569.037
183,4410595.536
184,4376438.4
185,3145850.618
186,3612835.749
187,4958974.05
188,4395129.932
189,4235797.679
190,4671044.236
191,4049037.721
192,4842680.275
193,5338266.381
194,2950995.954
195,5171457.788
196,4361378.114
197,2429663.255
198,4355631.749
199,3685220.09
200,4146357.965
201,4323970.774
202,4003921.635
203,4054168.778
204,4652611.955
205,4323779.126
206,4631731.73
207,4357983.012
208,4544754.946
209,3414818.378
210,4437652.953
211,4445637.663
212,4767634.418
213,4094064.025
214,5140126.988
215,2324290.177
216,4544211.74
217,4879373.884
218,3893101.395
219,3930702.78
220,4272664.436
221,4420170.638
222,4536004.437
223,4044560.245
224,4046071.018
225,4743937.621
226,4869315.837
227,4983338.538
228,3105077.43
229,4476598.356
230,4182079.468
231,4995885.79
232,5053252.689
233,3666293.032
234,3613863.956
235,4326491.387
236,3994940.841
237,2970719.208
238,5082148.466
239,4188898.534
240,4704016.138
241,4076042.878
242,4193402.9
243,4611779.187
244,4181159.376
245,4436488.004
246,3633905.181
247,4074548.328
248,4249797.84
249,4599803.882
250,4392185.235
251,4914120.508
252,4775589.881
253,3828559.128
254,3556410.382
255,4278760.253
256,3022206.726
257,5058660.793
258,3426772.227
259,3893795.343
260,4239813.19
261,5832286.563
262,4312709.92
263,4034150.379
264,2323568.331
265,3692449.605
266,4500945.368
267,4210377.51
268,4460861.281
269,3653965.541
270,4201847.114
271,3757974.848
272,4593070.672
273,4600442.558
274,3442279.957
275,4293934.013
276,4593133.183
277,3997500.941
278,4451008.739
279,3741440.367
280,4267701.308
281,5186706.526
282,3869604.172
283,3579709.84
284,3936823.148
285,2649422.047
286,4276615.89
287,4348766.344
288,4868567.373
289,4270024.335
290,4070473.842
291,4305019.805
292,3980552.866
293,4505231.111
294,3423595.444
295,5080509.137
296,4192627.986
297,4781764.141
298,3504419.718
299,4220318.169
300,4464229.613
301,4168432.252
302,4733725.9
303,4532941.858
304,4292260.428
305,4688967.671
306,3619788.401
307,4704545.97
308,2456899.811
309,3568077.321
310,4161398.296
311,3157366.586
312,3843154.747
313,4528417.036
314,4138448.641
315,4122507.756
316,3310353.501
317,4078090.769
318,5232209.603
319,5086872.121
320,4628367.417
321,4232141.598
322,3871734.381
323,5155300.904
324,3870952.154
325,5151708.381
326,4325162.993
327,4015143.329
328,4179327.523
329,4683429.559
330,5178239.547
331,4878972.443
332,4256770.869
333,5033053.262
334,4695301.837
335,4286375.637
336,2425144.18
337,4676109.899
338,3688926.641
339,4611249.237
340,4672571.446
341,3877058.27
342,4788730.686
343,4553609.141
344,3256574.58
345,4205524.439
346,3856115.006
347,5078832.139
348,3568512.357
349,4185639.391
350,4171752.406
351,4073294.083
352,4256603.774
353,3974861.131
354,3644892.878
355,4815447.125
356,4083006.682
357,4033591.73
358,4782315.722
359,4381664.402
360,4515629.671
361,3877539.233
362,3677972.562
363,4670988.267
364,5905158.369
365,4322860.475
366,2731590.692
367,3007801.17
368,3607024.346
369,4566698.132
370,4112545.656
371,4404857.163
372,4691172.355
373,4744848.54
374,4224291.617
375,3423467.786
376,2665006.536
377,4708727.07
378,4328561.431
379,4056091.043
380,4865993.083
381,3697481.452
382,3919502.13
383,3720878.592
384,4286867.936
385,4395877.184
386,4290498.081
387,4371546.371
388,3631020.474
389,4504849.285
390,4271109.903
391,4082371.903
392,4505081.936
393,3923260.429
394,5088231.367
395,3824847.215
396,4325869.936
397,4584831.899
398,4827062.729
399,4427173.106
400,3473185.546
401,2649266.998
402,4456020.524
403,3738301.582
404,3061307.659
405,3887487.77
406,4321404.575
407,4402987.572
408,2498947.832
409,3279720.464
410,4357926.306
411,4212500.785
412,4347453.075
413,4334007.19
414,4830487.643
415,4801216.15
416,4473033.495
417,2849312.507
418,3835086.281
419,4862635.091
420,4062253.076
421,4349065.191
422,4401518.426
423,2490556.456
424,4585069.832
425,3759793.685
426,4294707.836
427,4237173.271
428,4407721.818
429,4518759.617
430,3721668.65
431,3271476.471
432,3190274.214
433,4523916.736
434,3237492.361
435,4161891.055
436,4052780.453
437,2579579.224
438,4165516.385
439,4794857.082
440,4496845.964
441,3727745.915
442,2662534.104
443,4634647.047
444,4742121.53
445,5422949.087
446,5094293.634
447,4144213.887
448,4818644.274
449,6013097.009
450,4705111.985
451,3815623.797
452,3921268.189
453,4349703.422
454,4301398.59
455,3922250.971
456,3508668.421
457,3946733.097
458,3807964.5
459,2343151.073
460,4524290.452
461,3732611.012
462,4204922.494
463,3809104.398
464,4461650.351
465,4167415.014
466,4286516.33
467,4117650.186
468,3119970.31
469,4503208.765
470,3973100.078
471,4147221.267
472,3416725.454
473,4001580.843
474,4764368.843
475,4017867.175
476,3172535.041
477,4468326.834
478,3570645.097
479,3557193.054
480,5074266.43
481,5937575.426
482,3992835.443
483,4720326.019
484,4831912.722
485,4060802.748
486,3375837.117
487,5201977.393
488,4463626.918
489,3803350.089
490,4796728.231
491,2504316.147
492,4341380.594
493,4870078.955
494,4340585.339
495,4238626.607
496,4507030.481
497,4536209.047
498,4368823.876
499,4634472.973
500,4786295.551
501,3307508.954
502,3633177.396
503,4546274.982
504,4896934.444
505,3703750.226
506,4212346.99
507,4445637.382
508,4067510.985
509,4685088.738
510,4531938.375
511,4200066.649
512,2452250.566
513,5041584.695
514,2584227.055
515,3160970.919
516,3183519.905
517,4337791.854
518,4473948.808
519,4141545.63
520,4837691.217
521,4958809.992
522,4927784.645
523,4882560.922
524,3124573.285
525,4020586.546
526,4979552.08
527,4466968.883
528,4684085.819
529,4386475.126
530,3279332.33
531,5521561.976
532,4513417.34
533,3346752.846
534,4961705.362
535,4402041.399
536,4623237.506
537,4415468.301
538,3714460.572
539,4951212.943
540,4644707.842
541,4469828.346
542,4293861.167
543,3706261.896
544,3676990.651
545,3511509.902
546,3602033.907
547,4509129.134
548,4211396.04
549,3960758.227
550,3627823.532
551,4508781.228
552,5189489.805
553,4443094.342
554,4151651.587
555,4014666.209
556,3027618.833
557,4252274.021
558,4030129.172
559,3748327.82
560,4773697.249
561,4297333.738
562,3017440.29
563,4147384.21
564,4282183.281
565,4285667.67
566,2392571.661
567,5302207.225
568,3998284.91
569,4454306.088
570,5797977.893
571,4772545.626
572,3427539.182
573,4567538.596
574,4411017.814
575,3029355.469
576,6313508.701
577,4632469.965
578,3616015.283
579,3938375.234
580,3839947.571
581,4331234.98
582,4274444.904
583,5059990.742
584,4159240.703
585,3145807.665
586,3445740.644
587,3809442.347
588,3900039.894
589,4510078.012
590,4527821.222
591,3391037.494
592,3791093.287
593,3825688.949
594,3271000.461
595,3394316.801
596,4059424.701
597,4096265.97
598,3821553.009
599,4637739.4
600,4192813.754
601,4624505.232
602,4700656.66
603,2557088.274
604,4499762.878
605,4009307.502
606,4312037.429
607,3357181.608
608,4246699.848
609,4800341.404
610,5587794.0
611,3311436.123
612,3978636.105
613,4286208.629
614,5109103.053
615,4385147.331
616,4474318.909
617,4555482.159
618,5054403.951
619,4167123.276
620,3907491.968
621,5717803.722
622,4469108.574
623,4166078.157
624,3278502.174
625,4651004.812
626,3759569.694
627,4496611.724
628,3214056.724
629,5032460.637
630,4257647.183
631,5012394.113
632,4427080.055
633,4582544.04
634,2734764.426
635,4192339.189
636,4694553.516
637,3256063.47
638,4765540.931
639,4509397.199
640,3914755.726
641,4771659.426
642,4160220.205
643,4757117.982
644,4591640.979
645,2672068.886
646,4802237.489
647,3205517.538
648,4420545.558
649,3953822.611
650,2340252.22
651,4118897.517
652,3641114.233
653,3835314.95
654,4561194.418
655,4461458.846
656,2795132.081
657,3485264.046
658,4798059.394
659,3592266.194
660,4548098.194
661,4561809.141
662,4387123.231
663,4955565.964
664,3307098.174
665,4028608.495
666,5012481.814
667,4098751.932
668,4254504.221
669,4364435.454
670,4347536.514
671,4702089.013
672,4396848.434
673,4015946.918
674,4598578.725
675,4373678.616
676,4477152.853
677,3685504.185
678,4115599.35
679,4340597.075
680,2192284.064
681,4420815.062
682,4123917.056
683,4549420.967
684,3396264.364
685,4786378.918
686,4001590.582
687,2752152.02
688,3818857.54
689,4083533.39
690,4059744.706
691,4370583.466
692,3894558.09
693,4252649.294
694,3874724.104
695,3878720.884
696,4275323.352
697,4532458.534
698,3207438.801
699,3640007.749
700,4858534.691
701,3317874.54
702,4368691.726
703,4463577.943
704,4107196.31
705,4312627.75
706,4821989.31
707,4365245.974
708,4089538.896
709,3832737.919
710,4235427.53
711,5171738.936
712,4280573.899
713,3202903.316
714,3730696.896
715,2874631.23
716,3030095.772
717,3596285.739
718,4685014.867
719,4196784.113
720,4340479.864
721,5013783.559
722,4433462.894
723,4149147.238
724,3662007.665
725,4310041.096
726,3925784.976
727,3848007.043
728,4262481.151
729,4175993.272
730,3853908.436
731,4331589.075
732,3718478.564
733,5722427.389
734,4597575.078
735,3667553.674
736,4742163.025
737,3561277.423
738,4297477.771
739,3091335.894
740,3631643.183
741,4039081.212
742,4254637.895
743,3978522.037
744,3808965.667
745,4306350.34
746,3965362.906
747,4259974.393
748,4339156.934
749,4029937.069
750,5293721.41
751,3215802.663
752,3932239.537
753,2796069.978
754,2357516.488
755,4000302.079
756,3876767.384
757,4227455.221
758,4193878.354
759,4902940.915
760,4675911.323
761,4100041.669
762,4042349.037
763,3580299.62
764,4568877.452
765,4513127.603
766,4041945.587
767,4706842.181
768,3600300.703
769,4330586.363
770,3508915.647
771,4300264.963
772,3774935.97
773,3803962.633
774,3290562.281
775,3778381.721
776,3675245.65
777,3630646.975
778,4075982.059
779,4110578.209
780,4318556.996
781,3698936.649
782,3897928.599
783,4683441.997
784,4544919.467
785,4256694.16
786,4005217.768
787,4529977.699
788,4211603.946
789,4135294.37
790,3398377.177
791,4309465.873
792,2419969.029
793,3683491.23
794,3074629.674
795,4382984.653
796,3439245.703
797,3506459.659
798,3847019.911
799,4819929.644
800,4181921.505
801,5863367.191
802,3957357.987
803,3877366.75
804,3528695.164
805,3868104.834
806,4125372.936
807,4390283.023
808,3744257.388
809,2754274.603
810,4095082.59
811,3328525.041
812,4521798.688
813,3017733.899
814,3086361.144
815,4046083.288
816,3835192.466
817,3957322.462
818,3276657.933
819,3671838.684
820,4371815.488
821,4122696.768
822,3801009.928
823,4444428.606
824,4580111.068
825,4257091.976
826,4420222.18
827,3126632.547
828,4563015.836
829,3767621.298
830,4084108.328
831,4598419.488
832,5426409.171
833,4266393.009
834,4346318.035
835,3446245.658
836,2631656.915
837,4489372.628
838,3354741.984
839,2539770.186
840,3210546.029
841,3417831.587
842,4713839.755
843,3641719.399
844,4330071.528
845,4501722.799
846,4933053.582
847,4364212.437
848,2433172.349
849,4095303.92
850,4074624.509
851,4439278.232
852,4590870.624
853,4292840.428
854,4873169.821
855,4083375.107
856,4773888.439
857,4041155.093
858,4233959.091
859,4592614.395
860,3852956.667
861,4310394.361
862,4434225.912
863,3504631.488
864,5058285.889
865,5543764.761
866,3153334.863
867,3736730.712
868,4561849.059
869,4146243.213
870,3477472.362
871,4781110.935
872,3818869.022
873,4719396.158
874,4077627.585
875,4587204.926
876,4785553.085
877,4513981.946
878,3080232.504
879,4346727.654
880,2875084.206
881,3324388.982
882,4549504.875
883,2458158.007
884,4176169.096
885,4522230.58
886,3854208.966
887,4547242.146
888,4182555.188
889,4329850.505
890,4508188.796
891,3943965.903
892,4760149.6
893,4422121.181
894,4922288.507
895,3713594.354
896,4066430.293
897,3884781.84
898,4000106.757
899,4333129.52
900,2962744.269
901,5099671.252
902,4355225.459
903,4316512.864
904,3570989.341
905,4239659.175
906,3212060.027
907,3944491.222
908,4145737.874
909,3754539.084
910,4612042.616
911,4258501.231
912,4135086.647
913,4570438.223
914,4597683.757
915,4139871.137
916,2306653.55
917,4713851.416
918,4054254.064
919,3337165.282
920,4193950.464
921,4120021.874
922,4554535.745
923,4148754.56
924,4479225.005
925,4642035.954
926,4830313.333
927,4131692.565
928,4759871.931
929,3211681.959
930,4113318.714
931,3973868.061
932,4119565.072
933,4000600.02
934,3666062.159
935,3739725.67
936,3978175.816
937,4409189.917
938,4657981.108
939,4145506.548
940,4678410.576
941,3260081.349
942,3727288.631
943,5282219.081
944,5702296.939
945,2850921.313
946,4273075.401
947,3490838.45
948,4292578.223
949,3276698.766
950,4981019.266
951,3126242.127
952,4023893.805
953,3763557.639
954,5029509.402
955,4616569.058
956,4220063.929
957,6032326.494
958,4418955.48
959,4348924.891
960,4647531.572
961,4614664.35
962,4497208.104
963,3694926.053
964,4950272.669
965,3454427.152
966,4392509.863
967,5001583.716
968,3734727.178
969,3724356.258
970,2975011.945
971,2204062.064
972,3615317.922
973,3356366.622
974,4419430.236
975,3669853.722
976,3484559.08
977,4951542.725
978,4460930.043
979,5175996.728
980,4666396.09
981,3164051.949
982,4189076.539
983,4782255.697
984,5795561.328
985,4173393.542
986,3984469.339
987,4223056.533
988,4307090.297
989,3444849.72
990,5686757.22
991,2510721.084
992,3579907.831
993,4906385.917
994,3662915.766
995,3669039.177
996,4877110.79
997,4602624.38
998,4219840.666
999,4427880.187
1000,4326898.856
1001,4924229.002
1002,2877464.024
1003,4455850.93
1004,4354658.955
1005,4516850.735
1006,4675640.67
1007,4472622.815
1008,3295323.38
1009,4006670.419
1010,3394081.572
1011,4267954.66
1012,3908911.356
1013,3893000.149
1014,4166066.818
1015,3970920.3
1016,4357380.004
1017,4521256.178
1018,3785649.674
1019,4323387.543
1020,4231451.559
1021,4226810.767
1022,5265424.391
1023,4576125.705
1024,4417014.918
1025,2930935.459
1026,4134669.524
1027,4124289.455
1028,4303265.322
1029,3175395.455
1030,4572603.812
1031,3218531.815
1032,2914185.449
1033,4449962.673
1034,4263824.467
1035,3388951.44
1036,4311332.898
1037,3634925.248
1038,4262086.573
1039,3693620.674
1040,3050033.349
1041,4819285.677
1042,3072773.119
1043,4121841.081
1044,4272823.427
1045,4259401.586
1046,4088201.21
1047,4053380.862
1048,3939793.777
1049,4422912.282
1050,4318672.165
1051,4556216.53
1052,2644089.18
1053,2167934.868
1054,4562991.214
1055,2503572.08
1056,4427736.121
1057,3950110.169
1058,4056248.903
1059,4297111.655
1060,4460623.787
1061,4040641.588
1062,4958473.315
1063,5044058.705
1064,4565317.484
1065,5229060.676
1066,4378104.433
1067,4260138.865
1068,4317741.56
1069,4017839.72
1070,4081172.116
1071,3671646.32
1072,4960887.899
1073,4490156.204
1074,4880856.317
1075,4320999.462
1076,3302778.214
1077,3280267.606
1078,2397040.589
1079,4038665.834
1080,4367889.062
1081,3555491.949
1082,4284254.951
1083,4166091.815
1084,3562954.809
1085,2567828.805
1086,4223283.204
1087,3679041.996
1088,4123938.474
1089,3157923.732
1090,4416644.555
1091,5365225.31
1092,4276611.736
1093,4407771.046
1094,3584241.922
1095,3808040.525
1096,3405712.903
1097,3155533.254
1098,5004915.201
1099,4253686.61
1100,5142003.564
1101,4042757.681
1102,2601620.796
1103,4498490.511
1104,4550174.213
1105,3831172.888
1106,4268222.5
1107,4451771.502
1108,4522037.843
1109,4433287.329
1110,4793095.142
1111,4353314.741
1112,3646692.084
1113,4089560.85
1114,3838670.224
1115,3875998.258
1116,4047345.599
1117,4785755.82
1118,4729087.118
1119,3964232.252
1120,3679759.072
1121,2935464.406
1122,4335831.617
1123,5183121.137
1124,4135264.362
1125,4526525.647
1126,4459815.011
1127,4357451.179
1128,4641001.693
1129,4236778.732
1130,4182523.677
1131,5155839.906
1132,2837178.2
1133,4129426.334
1134,4947871.301
1135,2487800.06
1136,4854384.282
1137,3837047.771
1138,3671369.067
1139,4617213.388
1140,3936356.557
1141,4691979.344
1142,4543465.523
1143,3565901.038
1144,3877177.848
1145,4362943.001
1146,3659134.073
1147,3772372.166
1148,4413092.427
1149,5678438.714
1150,4435784.535
1151,2530822.404
1152,4668617.639
1153,3730135.249
1154,3711061.763
1155,2913035.562
1156,2869563.698
1157,4254135.688
1158,4607666.769
1159,4275129.305
1160,4177384.358
1161,4084913.743
1162,4271279.555
1163,4303816.454
1164,3930291.567
1165,3186789.255
1166,4343404.237
1167,4671914.087
1168,4318336.488
1169,3734738.906
1170,3394972.585
1171,4011240.859
1172,2363413.094
1173,4152083.158
1174,2357516.488
1175,4085256.39
1176,4084208.427
1177,4358345.27
1178,4457372.024
1179,4583797.775
1180,4224664.371
1181,4052201.919
1182,5114055.121
1183,4035265.335
1184,3792481.97
1185,3444784.619
1186,4218985.244
1187,3151201.66
1188,5139529.443
1189,4893029.454
1190,4479039.004
1191,5371046.31
1192,4219838.676
1193,3495604.781
1194,5632773.596
1195,3652937.882
1196,2398409.891
1197,4303528.188
1198,3892447.211
1199,4410798.724
1200,5708013.961
1201,4763872.608
1202,4761090.375
1203,4181227.846
1204,3737912.827
1205,4260819.487
1206,4526062.977
1207,4049620.546
1208,4338422.652
1209,3945644.038
1210,4130509.898
1211,5811366.08
1212,2775353.279
1213,4244242.313
1214,4391254.111
1215,4751023.037
1216,4480302.417
1217,4318686.389
1218,4875637.982
1219,4441510.85
1220,4160495.471
1221,4350827.4
1222,4115484.021
1223,4936912.908
1224,3649810.504
1225,4255477.747
1226,5172507.07
1227,5969840.905
1228,4116631.353
1229,4518235.998
1230,4390861.416
1231,4024186.044
1232,3873569.26
1233,4680014.512
1234,4228365.45
1235,3184244.164
1236,4947391.085
1237,2768575.527
1238,3837012.935
1239,4156577.177
1240,4073848.071
1241,4384679.679
1242,4350966.402
1243,3744767.866
1244,4279349.379
1245,4748577.905
1246,3140002.119
1247,4219346.161
1248,3155936.308
1249,3610883.928
1250,4638186.833
1251,3959987.777
1252,4034704.051
1253,4768537.337
1254,4886396.769
1255,3072979.895
1256,3552062.305
1257,4469881.071
1258,4800096.401
1259,3669850.736
1260,4107096.692
1261,4519134.718
1262,4163914.403
1263,3414803.081
1264,4811261.501
1265,3976930.806
1266,2980114.506
1267,4750203.01
1268,3736288.164
1269,4822538.829
1270,3342173.334
1271,4466295.427
1272,4935669.986
1273,2967350.741
1274,3817712.476
1275,4756134.869
1276,4104250.814
1277,4560660.991
1278,3635516.851
1279,2357516.488
1280,4554164.09
1281,3660147.246
1282,4487079.709
1283,3296577.013
1284,4738788.224
1285,4199254.514
1286,3160576.074
1287,3701451.808
1288,4520929.032
1289,3657802.29
1290,4224483.738
1291,3572140.006
1292,5065261.478
1293,5052636.602
1294,4165495.163
1295,3848314.249
1296,3964241.124
1297,4332963.632
1298,4139821.91
1299,3274173.569
1300,4149615.448
1301,3189688.836
1302,4186411.18
1303,3849915.164
1304,5354355.521
1305,4080120.198
1306,4191543.22
1307,3494466.406
1308,4232114.591
1309,3405358.672
1310,4676433.069
1311,4544840.626
1312,4211385.397
1313,4478998.543
1314,5159947.067
1315,4239599.641
1316,4222080.406
1317,4231804.8
1318,4798728.357
1319,3952963.302
1320,4800421.095
1321,4610360.226
1322,4888337.798
1323,2911278.496
1324,4764989.655
1325,3911607.007
1326,4997805.659
1327,5049661.124
1328,4559317.943
1329,4189902.834
1330,4631430.324
1331,3024363.958
1332,4561168.49
1333,4014386.956
1334,3061317.893
1335,3660329.799
1336,2464480.631
1337,4377801.945
1338,3657066.244
1339,3662699.693
1340,3765393.527
1341,4407750.998
1342,3984478.886
1343,2471591.7
1344,5889749.492
1345,2801405.406
1346,3659436.691
1347,3868707.92
1348,3635532.518
1349,3530709.285
1350,3916810.384
1351,4435835.809
1352,3668852.958
1353,4338083.403
1354,4410684.367
1355,4472342.334
1356,3985822.014
1357,4829886.564
1358,3822269.94
1359,2231819.578
1360,3699491.268
1361,5070033.661
1362,3758353.944
1363,4649782.052
1364,4412306.85
1365,3670036.48
1366,4090169.951
1367,4726090.865
1368,4153396.158
1369,5337405.826
1370,3979308.855
1371,4858646.011
1372,5803257.553
1373,4192533.269
1374,3964904.565
1375,4515629.671
1376,4405992.619
1377,3059636.672
1378,4278626.154
1379,4450383.357
1380,3822829.328
1381,4980929.923
1382,3733765.511
1383,4310874.762
1384,3556583.227
1385,4133466.253
1386,4239969.351
1387,2549107.788
1388,4514574.768
1389,4080546.556
1390,3829313.709
1391,3652662.468
1392,4347863.139
1393,3854257.252
1394,4046398.64
1395,4124640.278
1396,3607710.163
1397,4299597.875
1398,4837100.295
1399,3894182.471
1400,3990544.016
1401,4663260.352
1402,4118337.592
1403,4214600.118
1404,4336336.544
1405,4362126.358
1406,4120236.167
1407,4435553.517
1408,3700159.21
1409,4514702.338
1410,4143838.237
1411,3203600.431
1412,4875118.761
1413,4682434.714
1414,3999964.347
1415,4731217.417
1416,4445496.956
1417,3864931.072
1418,3595795.346
1419,4549745.75
1420,4920727.055
1421,4361203.89
1422,4357086.735
1423,4578316.989
1424,3710987.707
1425,4805097.294
1426,3688271.155
1427,3660770.565
1428,3538129.426
1429,3584851.922
1430,5689277.012
1431,3525273.276
1432,4249226.065
1433,3087231.315
1434,2354584.154
1435,3938285.8
1436,3750726.946
1437,4238261.448
1438,3026162.378
1439,5588325.429
1440,4328011.596
1441,4310184.438
1442,2882296.659
1443,4473742.078
1444,5549561.519
1445,4479006.652
1446,4825483.076
1447,3727868.166
1448,4095627.118
1449,4628796.371
1450,4114032.684
1451,4439116.055
1452,4683037.254
1453,3529869.612
1454,5109264.775
1455,4207797.466
1456,4598298.206
1457,4265167.65
1458,5061593.683
1459,3991795.594
1460,4314831.104
1461,4831817.139
1462,4061534.905
1463,3304361.477
1464,4367542.199
1465,4245761.416
1466,3414915.917
1467,4549863.643
1468,3936662.639
1469,3778755.371
1470,3854028.999
1471,4328790.591
1472,4452604.973
1473,2611908.731
1474,4281816.377
1475,4334210.88
1476,4404611.124
1477,3775742.552
1478,4662323.987
1479,4298506.374
1480,4312797.567
1481,3915108.807
1482,4161486.178
1483,4624682.966
1484,4482391.139
1485,4252717.901
1486,4519521.026
1487,4208209.907
1488,4144639.536
1489,3786136.454
1490,3460082.228
1491,4477056.98
1492,4051876.498
1493,4242677.516
1494,4654135.884
1495,5148001.158
1496,5775237.517
1497,4808617.106
1498,3446092.944
1499,5169191.261
1500,4472011.999
1501,4641810.473
1502,4465889.589
1503,4341843.815
1504,3827957.712
1505,4644801.196
1506,3346313.614
1507,3659032.592
1508,3114906.539
1509,4949528.406
1510,3905225.475
1511,4199281.984
1512,4567061.037
1513,4582754.44
1514,4600164.686
1515,4657904.561
1516,4798768.189
1517,4388264.467
1518,4412148.509
1519,5618621.283
1520,4556624.899
1521,4345080.424
1522,4835498.327
1523,4474544.645
1524,4248348.043
1525,3490662.577
1526,4503321.534
1527,3409601.93
1528,3807010.578
1529,4395834.364
1530,4665240.231
1531,3933609.811
1532,3957648.285
1533,3360472.481
1534,4232990.326
1535,6081574.384
1536,4218118.724
1537,4687815.078
1538,4437940.606
1539,4065613.096
1540,4803216.651
1541,3629504.378
1542,4846670.351
1543,4352839.573
1544,5619520.085
1545,3706555.538
1546,3782822.045
1547,2409617.197
1548,4332120.489
1549,4072938.008
1550,3971668.937
1551,5343024.748
1552,3385419.566
1553,4546275.406
1554,4483959.656
1555,3827391.438
1556,4391657.909
1557,4485117.36
1558,4540554.4
1559,3607710.163
1560,3682828.957
1561,4534458.057
1562,2345246.587
1563,4229137.48
1564,3764971.457
1565,5214911.257
1566,3883599.946
1567,3355234.049
1568,2484460.646
1569,4042009.542
1570,3608632.1
1571,5063306.903
1572,4353326.548
1573,4105972.573
1574,3462722.853
1575,3559640.7
1576,4119337.751
1577,4256100.89
1578,3878553.668
1579,4513511.741
1580,2839692.387
1581,3930143.239
1582,4148295.89
1583,3823797.129
1584,4251758.939
1585,4358378.317
1586,4381112.048
1587,4287263.407
1588,3550570.07
1589,4471755.449
1590,4072868.215
1591,2823415.239
1592,4718234.668
1593,4179107.801
1594,4091922.016
1595,4536795.736
